mga,department,child_readiness.basic,se.child_readiness.basic,sara_index,se.sara_index,child_readiness,se.child_readiness,quality.basic,se.quality.basic,main_symptom,se.main_symptom,assess.adeq,se.assess.adeq,fifteen.assess,se.fifteen.assess,int_cov,se.int_cov,three_danger_signs,se.three_danger_signs,year,recode,country
ALL,kebemer,0.7687074865588404,0.05790226547268481,0.6927437660542028,0.031091226469679868,0.7465986407928985,0.0449477843754987,0.8209851447232481,0.04763809632708703,0.6006072659273045,0.09391310804398721,0.06882591587878063,0.047153131635105344,0.38120449053435457,0.021094623682549093,0.5427841880908416,0.1800654608082619,0.034412957939390316,0.03411103269748305,2017,7,Senegal
ALL,kedougou,0.7222222222222223,0.052378280087892415,0.7037037037037037,0.029902719546641903,0.7361111111111112,0.02414519409334315,0.7878787878787878,0.07926994253409453,0.5454545454545455,0.15350558364468356,0.36363636363636365,0.1483004830159203,0.4730935730935731,0.02295356796557928,1,0,0,0,2017,7,Senegal
ALL,kolda,0.9077949486752392,0.05030335308205915,0.6462515054240937,0.03269736171244715,0.8038368007172946,0.03368649632427207,0.6348477030975033,0.07437483598412224,0.2965798886865261,0.1219730532991526,0.2491066655355659,0.10466711251772919,0.4465865210548549,0.028237822949219192,0.8133332697464446,0.1647214071883758,0,0,2017,7,Senegal
ALL,koumpentoum,0.8991155239376736,0.08334803323511034,0.7376082506850208,0.03504628831162086,0.838584853385145,0.04573618333951128,0.7092664131696155,0.06304536240769218,0.2943716020178202,0.13290691655506545,0,0,0.3558903380426441,0.024979708575067067,0.40681628510621826,0.17344376418376928,0,0,2017,7,Senegal
ALL,koungheul,0.9166666666666666,0.07453559924999299,0.8148148148148149,0.019125843684974896,0.9166666666666666,0.030429030972509218,0.7111111111111111,0.043282296937615705,0.2,0.10410912389132548,0,0,0.36126984126984124,0.01422420621082394,0.8,0.18032229211125858,0,0,2017,7,Senegal
ALL,linguere,0.7015503968571573,0.039684947084095396,0.6782945767301636,0.02255738608350306,0.7083333333333335,0.03548417728435896,0.7200783528397268,0.07717058477841257,0.2961410351115083,0.18855137243761658,0.22818804681534438,0.18496367065800365,0.42108903412004606,0.03045354610253144,0.6854370637668246,0.23026367763776107,0,0,2017,7,Senegal
ALL,louga,0.7508417161931816,0.0714965561353024,0.6617408458745438,0.02579653782414167,0.7167508141448126,0.04076312786115704,0.7830560195327345,0.03942955582566182,0.5904761716357934,0.07149981399767508,0.19563969124854408,0.0654591618778396,0.4174942292550537,0.020237011903630493,0.19786959258796943,0.10782355711065557,0.11348249498656877,0.05377670212042782,2017,7,Senegal
ALL,malem hodar,1,0,0.7820105786456728,0.021149790508891857,0.8982142838215244,0.031687672582596624,0.8613569270813886,0.04406337602755155,0.6194690178538093,0.12119202245364263,0.3473451506765183,0.11411028967402828,0.5076064069414946,0.03403715083772104,0.25133690792056185,0.1659831142946199,0,0,2017,7,Senegal
ALL,matam,0.9175257895738115,0.05099470026255021,0.7525773343985394,0.017311693210918973,0.847938146945817,0.023694117730432136,0.5959857409903464,0.07183703253597372,0.23542430708034048,0.08267309961018794,0.03744168124204383,0.025866425281163574,0.32160033907527763,0.02645407257747697,0.08358910848193823,0.08595759798290735,0,0,2017,7,Senegal
ALL,mbacke,0.8095965471960448,0.09871808625374202,0.8153800068139772,0.039218043277535836,0.7640726110688144,0.059007065329703456,0.4691138627741163,0.02985872794815292,0.009825889876480125,0.009820811558951948,0.01965177975296025,0.013085946622480575,0.3164798111935707,0.010182652959057232,0,0,0,0,2017,7,Senegal
ALL,mbour,0.9749910626819807,0.02505591856148855,0.7074590872902988,0.033469701429593976,0.7758127855307941,0.02683860301433257,0.6686434753466046,0.059149047895057476,0.2880758329712058,0.09290032462132052,0.2125451613905945,0.08896925450205158,0.3945841191932313,0.05137559763964545,0.2895096260481471,0.15847811046002755,0.05313629034764863,0.05238959312419453,2017,7,Senegal
ALL,medina yoroufoula,1,0,0.7962962962962963,0.013588877513061882,0.9166666666666666,0,0.6666666666666667,0.23904572186687872,0.5,0.3585685828003181,0.5,0.3585685828003181,0.5,0.07171371656006362,0,0,0,0,2017,7,Senegal
ALL,nioro du rip,0.7895545371563321,0.07014388666087584,0.7153097735300012,0.022973140345271398,0.7807219676224162,0.048095413536563575,0.6826446016597186,0.07260389505850892,0.3305784719281405,0.11869952746008572,0.19834708315688432,0.10210211528892303,0.3945418105100367,0.027418688916024503,0.6666666666666667,0.15873015873015872,0,0,2017,7,Senegal
ALL,oussouye,0.9115646169362325,0.07545871525793423,0.8632196549491791,0.02629335019211808,0.908163268648913,0.05958138429624587,0.2914243669640762,0.08010622634653149,0,0,0,0,0.2674091093847805,0.02459906417312336,1,0,0,0,2017,7,Senegal
ALL,pikine,0.7858477721824909,0.11571431731648434,0.6355790373584854,0.05887675154863464,0.7416083455237149,0.06479560895611235,0.5472853161421569,0.053936237033991884,0.05764670608850814,0.02919717951894658,0.0733657215477307,0.0332210155930574,0.3363729367920668,0.028573687087970805,0.3523337107823396,0.16146209488228613,0,0,2017,7,Senegal
ALL,podor,1,0,0.7228956228170087,0.016592599495556748,0.8333333333333333,0.011651588310672222,0.5015673035954247,0.059990694461047316,0.224230798149944,0.06993805823704154,0.0654615211100336,0.03978104848199928,0.27877414495269204,0.022974068637686605,0.4062881597511572,0.14809479203028353,0,0,2017,7,Senegal
ALL,ranerou,0.8176100446066208,0.07910398486613858,0.7393431258448375,0.020342947029297904,0.7877358444849885,0.019775996216534652,0.5513728804719024,0.12301568507239576,0.2691762717168586,0.14395029895305408,0.07717739865465977,0.054203752731909895,0.2776831828978236,0.044416481373542274,1,0,0,0,2017,7,Senegal
ALL,rufisque,0.8421052592053977,0.12660417476466496,0.81489842501862,0.04426774627109721,0.8552631574006746,0.07463381181702432,0.45184649617785466,0.054895643135679524,0.051328388259090765,0.050369868769967886,0,0,0.28154144009857895,0.017038798860091735,0.36344226148652625,0.17968295214501334,0,0,2017,7,Senegal
ALL,saint louis,0.9338327207223268,0.05970429460139149,0.7166412781566589,0.037519540513796835,0.7868289782561168,0.02967816565756452,0.5185717351102541,0.05554327995607554,0.14772899494434516,0.0664716084677595,0.07386449747217258,0.04988081059329456,0.3071721423014206,0.02228928262820036,0.6488125093593317,0.14903973542765972,0,0,2017,7,Senegal
ALL,salemata,0.8267326962065902,0.061067990404712835,0.7134213287685178,0.0390710943939233,0.8011551213862406,0.035776991817810286,0.6319445083907216,0.07520739890577638,0.2326390165076486,0.12558286974748006,0.1770835276363174,0.11345828755145371,0.41749090311721665,0.03570973270188601,0.5,0.36149940274061054,0,0,2017,7,Senegal
ALL,saraya,0.8030303187531713,0.07547405359366759,0.7104377069437396,0.020093205264621362,0.7689394057315452,0.036669914368037605,0.7954546314758305,0.1226658316551716,0.5909092629516609,0.22464972281650022,0.5909092629516609,0.22464972281650022,0.48717950658941817,0.04993807226558593,0,0,0,0,2017,7,Senegal
ALL,sedhiou,0.9382183948605596,0.05716634146239453,0.8614303977158043,0.006686566305557509,0.8394396602423662,0.02331881767568183,0.4805362699235396,0.047548722430371684,0.09116966389458254,0.061808790449643235,0,0,0.29906638086732196,0.012848640810954914,0,0,0,0,2017,7,Senegal
ALL,tambacounda,0.8532751753399637,0.08548052689843945,0.6514047501746344,0.028027993607081917,0.6669051406198022,0.046223204415879404,0.7603443272184194,0.04832024695365373,0.41225818972581363,0.10858635353270973,0,0,0.31201124681516,0.020721158114480324,0.6632782388712699,0.15130313893385763,0,0,2017,7,Senegal
ALL,thies,0.8083567611501188,0.07972911812691852,0.6708926643593603,0.036140897612116016,0.7249899478370996,0.055138679155352026,0.6255158444704102,0.06330421172763916,0.3024051397323175,0.09511509155469185,0.20097329064979075,0.08216468689550407,0.4170424577016372,0.019182040395706656,0.3386028433587336,0.19080009990252525,0,0,2017,7,Senegal
ALL,tivaoune,0.8269829894011838,0.06466449308891234,0.8667625211082411,0.01621644195831659,0.834052241645143,0.02582774962602776,0.4797914445293747,0.04580849083645141,0.06502099229572568,0.04497716369862281,0,0,0.34539337323602004,0.01772422003247538,0.6805296641599963,0.16797172388058218,0,0,2017,7,Senegal
ALL,velingara,0.847488593792659,0.07277435424556741,0.6754789252425353,0.059955314327919264,0.7800228300059953,0.043590936041904664,0.6186117469540366,0.04851013024807287,0.19941157450753533,0.07972359031773724,0.2392938894090424,0.08478898250338426,0.3996629193277082,0.027434335380473365,0.16052631850891222,0.14759164863067142,0.039882314901507065,0.03953567777561939,2017,7,Senegal
ALL,ziguinchor,0.8246575585852499,0.05098836372040467,0.8135971632473248,0.010299292495535349,0.8344749000021462,0.03336806383853711,0.40254336690586284,0.050083975934130394,0,0,0,0,0.27948031430663334,0.022988840828670302,0.4702374382684186,0.23190053016264334,0,0,2017,7,Senegal
public,bakel,0.9296349738384497,0.04718900312234571,0.7338163131107724,0.01762013637073608,0.824387614907468,0.02766975587865876,0.5547832557561369,0.11964708446356769,0.22376682182105961,0.14131099003866812,0.22376682182105961,0.14131099003866812,0.27468987636083053,0.06881083045907914,0.34038201808891383,0.2779693925533624,0,0,2017,7,Senegal
public,bambey,0.9333333333333333,0.06126243889817878,0.8740740740740741,0.01735435396622774,0.8500000000000001,0.01531560972454468,0.5079365079365079,0.0429607835749825,0,0,0.047619047619047616,0.04675054225464911,0.31350078492935635,0.017601501319142978,0,0,0,0,2017,7,Senegal
public,bignona,0.9730848857155184,0.026452376287165832,0.7800782137599004,0.017504211773412052,0.8467908904755742,0.021468317329791587,0.5798097819138823,0.04294408570017182,0.13815137437377165,0.06447490958199624,0.03453784359344291,0.03426235835880169,0.32558416789911826,0.014527003127930514,0.6609541666477536,0.1435206309486264,0,0,2017,7,Senegal
public,birkelane,0.8333333333333333,0.1217161238900369,0.7222222222222221,0.06762006882779827,0.7916666666666667,0.09128709291752764,0.38888888888888895,0.12311906215024171,0.16666666666666666,0.15336722393113886,0.16666666666666666,0.15336722393113886,0.367032967032967,0.09401375947881946,0.25,0.21824538571776672,0.16666666666666666,0.15336722393113886,2017,7,Senegal
public,bounkiling,0.7045855421629535,0.06636720591493837,0.8467568050041259,0.012523000676764725,0.8428130522074052,0.016591801478734586,0.2976190476190477,0.049002682052095944,0.03571428571428571,0.03534797566467098,0,0,0.2244505494505495,0.015389814313542945,0.5,0.17817416127494962,0,0,2017,7,Senegal
public,dagana,0.8560157828395559,0.07005962378473823,0.6666666666666666,0.01685305348738177,0.7694773200833669,0.03344273797845586,0.6665581145375323,0.05691333011984969,0.29990230308377896,0.1023480851498964,0.04998371718062983,0.049017293116133384,0.342417064491823,0.021742678547030252,0.32272298802259874,0.14305616398975024,0,0,2017,7,Senegal
private,dakar,0.19120074988720479,0.06413511327362445,0.37165626221922804,0.04383182020317219,0.3339583244882755,0.03896526609864411,0.4162309533893774,0.1269623008537378,0.18199364679906987,0.12879628490863743,0,0,0.2562965056120172,0.025746754346660634,0.3589743357488265,0.21712979052967146,0,0,2017,7,Senegal
public,dakar,0.9016393298825742,0.059164901519012526,0.7357049680194814,0.05269904813889632,0.8804644665664947,0.03157853860142906,0.7179749248394228,0.05327155938821024,0.4072825014822995,0.09961276898809972,0.14994338513480107,0.06393738994143826,0.426812648378595,0.01942714751500642,0.5190386126918517,0.16862492597294898,0,0,2017,7,Senegal
private,diourbel,0.9411764508394251,0.07006388385817404,0.8082788649080842,0.020058749301896894,0.8186274460431896,0.017515970964543534,0.3965517189498346,0.11831596412117287,0,0,0,0,0.29231400728963475,0.03470404137201352,0.2142859814196684,0.23810760137832643,0,0,2017,7,Senegal
public,diourbel,0.6535749954830042,0.1062356171354674,0.8311513881360563,0.015758706866640663,0.7867572899727933,0.02858938189486274,0.5341300526836963,0.04567205649471303,0.07228219930396057,0.04920521360393062,0.05360754229572602,0.039453751637841164,0.31887790256696186,0.01784687417786582,0.2672623138565187,0.16172558371279816,0,0,2017,7,Senegal
private,fatick,0.8888887303498828,0.13094584969168604,0.8456789506916209,0.0509233859912113,0.8333332144290786,0.09820938726876459,0.33333333333333337,0.1360827634879543,0,0,0,0,0.31584249084249083,0.06557703752970262,0,0,0,0,2017,7,Senegal
public,fatick,0.9346541552830122,0.04248155312955381,0.8649441958874814,0.013125862111680538,0.8529718493867776,0.016200173776368242,0.42548998866950183,0.04205489671304047,0.0379549894788233,0.03167252581166407,0.006792487455520088,0.0068397917828138975,0.2970357318114244,0.012784768504749746,0,0,0,0,2017,7,Senegal
private,foundiougne,0.33333333333333337,0,0.4814814814814815,0,0.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,7,Senegal
public,foundiougne,0.9020929904730217,0.05211196590760221,0.8365719280430324,0.017624406082888188,0.857810085715078,0.02416207299057606,0.5297022224568115,0.04770410871162503,0.14325142813576247,0.06050809296384738,0.025853333098743898,0.026040921076849036,0.3014682672021777,0.01413002890205428,0.3941485730371847,0.1468607072923097,0,0,2017,7,Senegal
public,gossas,0.8333333333333333,0.12108052620946318,0.8703703703703703,0.013453391801051443,0.875,0.030270131552365766,0.33333333333333337,0.0951189731211342,0,0,0,0,0.2736263736263736,0.02976524153093731,0.5,0.35669614920425324,0,0,2017,7,Senegal
public,goudiry,0.9999999999999999,4.6978032118366324e-17,0.7092700920785696,0.039437399072905124,0.884894817756523,0.01930118137070529,0.8346584643866501,0.0839113951428947,0.6240061517100124,0.17527399149038697,0.5039753931599504,0.17982995761549284,0.4583751641916529,0.0486841400600786,1,0,0,0,2017,7,Senegal
public,goudomp,0.8058252712984967,0.07601669002842236,0.8518518518518519,0.011269821241138844,0.8681229844912909,0.04058476795058677,0.4304800408660429,0.052903583615402046,0,0,0,0,0.30312474431992337,0.02053434700838373,0.3855627074305497,0.1543927280073067,0,0,2017,7,Senegal
private,guediawaye,1,0,0.38762430839078155,0.06740011393883918,0.8333333333333334,0,1,0,1,0,0,0,0.44761904761904764,0.009771222400810999,0,0,0,0,2017,7,Senegal
public,guediawaye,1,0,0.7962962962962963,0.013554167679840717,0.9166666666666667,0.060993754559283304,0.5925925925925926,0.10290570459128112,0.2222222222222222,0.14007810787073774,0.2222222222222222,0.14007810787073774,0.40317460317460313,0.0394028947342029,0.8,0.18081939103401784,0,0,2017,7,Senegal
public,guinguineo,0.7777777777777778,0.09351393461446371,0.7407407407407407,0.035993530215094445,0.7777777777777778,0.06185365377725643,0.7619047619047619,0.11207543823781144,0.5714285714285714,0.18894287750460237,0.5714285714285714,0.18894287750460237,0.5435374149659863,0.05363012808200785,0,0,0,0,2017,7,Senegal
private,kaffrine,1,0,0.7407407407407407,0,0.7499999999999999,1.1102230246251565e-16,0.6666666666666666,0,0,0,0,0,0.28571428571428575,0,0,0,0,0,2017,7,Senegal
public,kaffrine,0.8031745990331768,0.0945847322690898,0.7248677274561165,0.02015510343660741,0.7690476159415494,0.02264030201184914,0.4936358108222052,0.06180378016276292,0.22022685811665382,0.06991156185794163,0.23440454924216209,0.07188241264292548,0.3701499847940206,0.026714718580000112,0.6975138428127133,0.141883876716552,0,0,2017,7,Senegal
public,kanel,0.7916666666666665,0.05861785769491017,0.6851851851851851,0.021271680172978733,0.7395833333333333,0.03529262387197242,0.43209876543209874,0.05526478122945772,0.07407407407407407,0.05092332786322877,0,0,0.19488536155202824,0.018618506308427298,0.5714285714285714,0.18898223650461363,0,0,2017,7,Senegal
private,kaolack,0.26190473278534077,0.14163715507875213,0.43469784652799326,0.06237538257131615,0.41468252754944757,0.04619971506443621,0.5224719268366038,0.07435063365555535,0.04494385367320749,0.0429239036902088,0,0,0.2971642660658336,0.019271333400803177,0,0,0,0,2017,7,Senegal
public,kaolack,0.8616515359458403,0.053625582289619854,0.7272421598421579,0.017630344513193664,0.8197146542400546,0.0214677547112774,0.7013271353926335,0.044979744972181775,0.3289524392170536,0.08177115341839201,0.340162334780959,0.08286625898288395,0.47029312960662184,0.022768198129752466,0.4444444444444444,0.16731627831578727,0,0,2017,7,Senegal
public,kebemer,0.7687074865588404,0.05790226547268481,0.6927437660542028,0.031091226469679868,0.7465986407928985,0.0449477843754987,0.8209851447232481,0.04763809632708703,0.6006072659273045,0.09391310804398721,0.06882591587878063,0.047153131635105344,0.38120449053435457,0.021094623682549093,0.5427841880908416,0.1800654608082619,0.034412957939390316,0.03411103269748305,2017,7,Senegal
public,kedougou,0.7222222222222223,0.052378280087892415,0.7037037037037037,0.029902719546641903,0.7361111111111112,0.02414519409334315,0.7878787878787878,0.07926994253409453,0.5454545454545455,0.15350558364468356,0.36363636363636365,0.1483004830159203,0.4730935730935731,0.02295356796557928,1,0,0,0,2017,7,Senegal
private,kolda,0.8823528226836992,0.1370173393868229,0.521236115799976,0.08433193036542966,0.7990194893503658,0.1370173393868229,0.5555555555555556,0.22222222222222218,0.3333333333333333,0.3333333333333333,0,0,0.3952380952380952,0.020756661635907978,0,0,0,0,2017,7,Senegal
public,kolda,0.9124506676648787,0.054788984961413253,0.7104413328342274,0.010039876085064852,0.8047183327094508,0.031290994002623806,0.6564868948160956,0.07255121458538771,0.2865497046180446,0.12578198818041192,0.317089020169758,0.1322451983595957,0.4605997426050589,0.03534149037292566,1,0,0,0,2017,7,Senegal
private,koumpentoum,1,0,0.6296296296296295,0,0.6666666666666666,0,0.8333333333333333,0.1666666666666667,0.5,0.5,0,0,0.34615384615384615,0.038461538461538464,0,0,0,0,2017,7,Senegal
public,koumpentoum,0.872064482921509,0.09996733381233715,0.7665615071328578,0.03172361367862979,0.8846827873970438,0.024991833453084256,0.6939757417842187,0.06745687306766772,0.2690288574981524,0.13561242823540315,0,0,0.3570903154235748,0.027676283157844473,0.5,0.21029343627939748,0,0,2017,7,Senegal
public,koungheul,0.9166666666666666,0.07453559924999299,0.8148148148148149,0.019125843684974896,0.9166666666666666,0.030429030972509218,0.7111111111111111,0.043282296937615705,0.2,0.10410912389132548,0,0,0.36126984126984124,0.01422420621082394,0.8,0.18032229211125858,0,0,2017,7,Senegal
public,linguere,0.7015503968571573,0.039684947084095396,0.6782945767301636,0.02255738608350306,0.7083333333333335,0.03548417728435896,0.7200783528397268,0.07717058477841257,0.2961410351115083,0.18855137243761658,0.22818804681534438,0.18496367065800365,0.42108903412004606,0.03045354610253144,0.6854370637668246,0.23026367763776107,0,0,2017,7,Senegal
private,louga,0.4404761850163015,0.21431986618687676,0.48148148148148145,0.07434521047809252,0.47023809250815074,0.11677189092674406,0.16666666666666669,0.1666666666666667,0,0,0,0,0.21978021978021978,0.06593406593406595,0,0,0,0,2017,7,Senegal
public,louga,0.8732394360536198,0.047784434760911286,0.7328290723974453,0.015938258655626047,0.8139671349472751,0.027646353018603863,0.8237716558788857,0.04008725817471749,0.6294801112132743,0.07586205604373637,0.20856268300158276,0.06970374349211302,0.4305542402252076,0.02095638585071662,0.2167609655847132,0.11661834102290321,0.12097858812322465,0.05729395964171597,2017,7,Senegal
