mga,department,readiness,se.readiness,factype,process_quality,se.process_quality,year,recode,country,logit_readiness,var_logit_readiness,logit_process_quality,var_logit_process_quality
public,medina yoroufoula,0.69657085,0.052558228,ALL,0.397260616,0.026593997,2013,6,Senegal,0.831021373,0.061835266,-0.416892377,0.012335509
public,nioro du rip,0.730861784,0.03016439,ALL,0.456637075,0.038872836,2013,6,Senegal,0.998999304,0.023516239,-0.173888539,0.0245454
private,oussouye,0.740740741,0,ALL,0.153846154,0,2013,6,Senegal,1.049822124,NA,-1.704748092,NA
public,oussouye,0.667908461,0.030987209,ALL,0.353172618,0.026356554,2013,6,Senegal,0.69874048,0.019517105,-0.60512252,0.013311482
private,pikine,0.613397592,0.060988825,ALL,0.316777983,0.019167246,2013,6,Senegal,0.461616533,0.066143517,-0.768618711,0.007843064
public,pikine,0.626762392,0.025657415,ALL,0.331411406,0.015073733,2013,6,Senegal,0.518352275,0.012029544,-0.701808391,0.004627952
public,podor,0.75712686,0.013982143,ALL,0.435919555,0.029349987,2013,6,Senegal,1.136991574,0.005781642,-0.257739154,0.014246921
public,ranerou,0.736229506,0.013637281,ALL,0.495675972,0.037773253,2013,6,Senegal,1.026462514,0.004931474,-0.017296542,0.022832513
private,rufisque,0.688803358,0.059585294,ALL,0.275437326,0.047069962,2013,6,Senegal,0.794530825,0.077271237,-0.967208155,0.055627584
public,rufisque,0.648894093,0.035030783,ALL,0.351062173,0.020136332,2013,6,Senegal,0.614181612,0.023641541,-0.614373576,0.007812436
private,saint louis,0.391534443,0.02565472,ALL,NA,NA,2013,6,Senegal,-0.440866817,0.011596385,NA,NA
public,saint louis,0.6940322,0.018045617,ALL,0.438035435,0.025467718,2013,6,Senegal,0.81903849,0.007221589,-0.249138987,0.010703941
private,salemata,0.777777778,1.11E-16,ALL,0.307692308,0.059584359,2013,6,Senegal,1.252762968,NA,-0.810930216,0.078240741
public,salemata,0.71252278,0.030693184,ALL,0.443499125,0.022914499,2013,6,Senegal,0.907668263,0.022453266,-0.226972913,0.008619925
private,saraya,0.583320207,0.096957185,ALL,0.522344322,0.045439261,2013,6,Senegal,0.336418233,0.159125975,0.089436858,0.033167969
public,saraya,0.694854169,0.040705531,ALL,0.500684827,0.025545811,2013,6,Senegal,0.822912198,0.036855698,0.002739308,0.010441454
public,sedhiou,0.727041761,0.022409154,ALL,0.367872065,0.0136944,2013,6,Senegal,0.979665106,0.012750869,-0.541356576,0.003468027
private,tambacounda,0.814814815,0,ALL,0.237362637,0.032367358,2013,6,Senegal,1.481604541,NA,-1.167193553,0.03197081
public,tambacounda,0.61778092,0.03414364,ALL,0.370919421,0.015544002,2013,6,Senegal,0.480139946,0.020908647,-0.528274512,0.004437659
private,thies,0.562892326,0.055993552,ALL,0.406333412,0.024723712,2013,6,Senegal,0.252908802,0.05179031,-0.379143827,0.01050454
public,thies,0.708757403,0.017578542,ALL,0.386899987,0.015610995,2013,6,Senegal,0.889356713,0.007252048,-0.460361848,0.004331129
private,tivaoune,0.703703704,7.52E-17,ALL,0.402139852,0.025568717,2013,6,Senegal,0.864997437,NA,-0.396556943,0.011310048
public,tivaoune,0.68892959,0.019037101,ALL,0.405558096,0.017759926,2013,6,Senegal,0.795119787,0.007891046,-0.382358855,0.005426969
private,velingara,0.589911511,0.106506909,ALL,0.501831502,0.03058048,2013,6,Senegal,0.363599583,0.193832528,0.00732604,0.014963054
public,velingara,0.626310085,0.035161997,ALL,0.353124311,0.019636224,2013,6,Senegal,0.516419244,0.022570725,-0.605333991,0.007389568
private,ziguinchor,0.569270881,0.054635443,ALL,0.440164854,0.056495512,2013,6,Senegal,0.278876989,0.049648089,-0.240493035,0.052562602
public,ziguinchor,0.703093232,0.028317797,ALL,0.335917673,0.017243029,2013,6,Senegal,0.862071324,0.018401485,-0.681540021,0.00597472
private,matam,NA,NA,ALL,NA,NA,2013,6,Senegal,NA,NA,NA,NA
private,sedhiou,NA,NA,ALL,NA,NA,2013,6,Senegal,NA,NA,NA,NA
private,foundiougne,NA,NA,ALL,NA,NA,2013,6,Senegal,NA,NA,NA,NA
private,birkelane,NA,NA,ALL,NA,NA,2013,6,Senegal,NA,NA,NA,NA
private,medina yoroufoula,NA,NA,ALL,NA,NA,2013,6,Senegal,NA,NA,NA,NA
private,linguere,NA,NA,ALL,NA,NA,2013,6,Senegal,NA,NA,NA,NA
private,kebemer,NA,NA,ALL,NA,NA,2013,6,Senegal,NA,NA,NA,NA
private,kanel,NA,NA,ALL,NA,NA,2013,6,Senegal,NA,NA,NA,NA
private,podor,NA,NA,ALL,NA,NA,2013,6,Senegal,NA,NA,NA,NA
private,bounkiling,NA,NA,ALL,NA,NA,2013,6,Senegal,NA,NA,NA,NA
private,goudiry,NA,NA,ALL,NA,NA,2013,6,Senegal,NA,NA,NA,NA
private,malem hodar,NA,NA,ALL,NA,NA,2013,6,Senegal,NA,NA,NA,NA
private,nioro du rip,NA,NA,ALL,NA,NA,2013,6,Senegal,NA,NA,NA,NA
private,ranerou,NA,NA,ALL,NA,NA,2013,6,Senegal,NA,NA,NA,NA
ALL,bakel,0.664135824,0.030295038,clinic,0.456895294,0.034697845,2013,6,Senegal,0.681779841,0.018445983,-0.172847881,0.0195526
ALL,bakel,0.586410248,0.084346128,health center,0.322784114,0.031526821,2013,6,Senegal,0.349145082,0.120944928,-0.741006388,0.020800883
ALL,bambey,0.733305202,0.018752068,clinic,0.38764307,0.02788826,2013,6,Senegal,1.011457066,0.009193898,-0.457230337,0.013802874
ALL,bambey,0.703703704,0,health center,0.195604396,0.039863589,2013,6,Senegal,0.864997437,NA,-1.413996964,0.064188348
ALL,bignona,0.707869144,0.01581994,clinic,0.338796944,0.021307912,2013,6,Senegal,0.885057413,0.0058526,-0.668660045,0.009047594
ALL,bignona,0.777777778,7.40E-17,health center,0.370472857,0.041747574,2013,6,Senegal,1.252762968,NA,-0.530188788,0.032042085
ALL,birkelane,0.746140036,0.024163507,clinic,0.491148153,0.023813229,2013,6,Senegal,1.078130509,0.016273869,-0.035411088,0.009078808
ALL,birkelane,0.740740741,0,health center,0.507619048,0.039221448,2013,6,Senegal,1.049822124,NA,0.03047855,0.024624586
ALL,bounkiling,0.669782245,0.023337357,clinic,0.327949219,0.020521216,2013,6,Senegal,0.707200353,0.011133591,-0.717475129,0.008669395
ALL,bounkiling,0.574227168,0.045360577,health center,0.325338269,0.022548722,2013,6,Senegal,0.299119137,0.034421815,-0.729345958,0.010553619
ALL,dagana,0.713800769,0.019105298,clinic,0.38423565,0.029367229,2013,6,Senegal,0.91391571,0.008746145,-0.471608305,0.015406414
ALL,dagana,0.807309461,0.028077956,health center,0.391474462,0.034251848,2013,6,Senegal,1.432621586,0.032578428,-0.441118599,0.020673001
ALL,dakar,0.487330249,0.020298824,clinic,0.393575508,0.022669255,2013,6,Senegal,-0.050689854,0.006601151,-0.432307286,0.009021212
ALL,dakar,0.706050636,0.020538647,health center,0.361398663,0.017728669,2013,6,Senegal,0.876279437,0.009793252,-0.569298696,0.005900917
ALL,dakar,0.572954706,0.037741258,hospital,0.359397587,0.015413094,2013,6,Senegal,0.293916582,0.02379273,-0.577979744,0.004481797
ALL,diourbel,0.712966459,0.022369133,clinic,0.419304823,0.02979243,2013,6,Senegal,0.909835303,0.011947989,-0.325627809,0.014971169
ALL,diourbel,0.703703704,0,health center,0.392967033,0.045901302,2013,6,Senegal,0.864997437,NA,-0.434857378,0.037026547
ALL,diourbel,0.667322507,0.168092585,hospital,0.419047619,0.037058053,2013,6,Senegal,0.696099918,0.573295754,-0.32668423,0.023171672
ALL,fatick,0.694724218,0.013893135,clinic,0.367768382,0.016154493,2013,6,Senegal,0.822299387,0.00429132,-0.541802469,0.004827091
ALL,fatick,0.765522917,0.02922282,health center,0.263107243,0.034968899,2013,6,Senegal,1.183201294,0.026504953,-1.02988065,0.032530425
ALL,fatick,0.62962963,0,hospital,NA,NA,2013,6,Senegal,0.530628251,NA,NA,NA
ALL,foundiougne,0.680345247,0.02675911,clinic,0.302751454,0.013540974,2013,6,Senegal,0.755358867,0.015139875,-0.834229755,0.004114832
ALL,foundiougne,0.666768743,0.028688548,health center,0.378951525,0.035938948,2013,6,Senegal,0.693606559,0.01667152,-0.494000844,0.023319133
ALL,gossas,0.638415458,0.015359122,clinic,0.329293108,0.026370933,2013,6,Senegal,0.568493379,0.004426967,-0.711383959,0.014256738
ALL,gossas,0.888888889,0,health center,0.172527473,0.032495337,2013,6,Senegal,2.079441542,NA,-1.567819422,0.051810573
ALL,goudiry,0.636147428,0.035879344,clinic,0.315693592,0.02583409,2013,6,Senegal,0.558681579,0.024028272,-0.773633687,0.014300578
ALL,goudiry,0.830114835,0.013385958,health center,0.304824614,0.041511755,2013,6,Senegal,1.586441338,0.009009727,-0.824427595,0.038375438
ALL,goudomp,0.724282186,0.016394123,clinic,0.401056003,0.017534714,2013,6,Senegal,0.965803147,0.006739554,-0.401067025,0.005328622
ALL,goudomp,0.777777778,0,health center,0.281822344,0.014309493,2013,6,Senegal,1.252762968,NA,-0.935440082,0.004998433
ALL,guediawaye,0.59802725,0.056814968,clinic,0.38196917,0.026057022,2013,6,Senegal,0.397252023,0.055858639,-0.481198446,0.012183517
ALL,guediawaye,0.713619269,0.053397941,health center,0.361762371,0.04260844,2013,6,Senegal,0.913027433,0.068269749,-0.567723109,0.034054904
ALL,guediawaye,0.671671043,0.064078134,hospital,0.517722663,0.055472416,2013,6,Senegal,0.715752679,0.084428309,0.070920363,0.049358971
ALL,guinguineo,0.685520189,0.024344716,clinic,0.261718901,0.030648776,2013,6,Senegal,0.779258068,0.012752149,-1.037053614,0.025160113
ALL,guinguineo,0.777777778,0,health center,0.407619048,0.035462942,2013,6,Senegal,1.252762968,NA,-0.373816897,0.021569417
ALL,kaffrine,0.735167488,0.021421844,clinic,0.435747631,0.028798391,2013,6,Senegal,1.021000752,0.01210594,-0.258438365,0.01371891
ALL,kaffrine,0.926028042,0.037036755,hospital,0.476201928,0.054079776,2013,6,Senegal,2.52721844,0.292336715,-0.095264267,0.04700669
ALL,kanel,0.65908091,0.026602326,clinic,0.375518932,0.022903274,2013,6,Senegal,0.659201127,0.01401713,-0.508612125,0.009538781
ALL,kanel,0.814814815,0,health center,0.368818681,0.062880119,2013,6,Senegal,1.481604541,NA,-0.537288028,0.072961308
ALL,kaolack,0.671119568,0.034013882,clinic,0.405917682,0.019140137,2013,6,Senegal,0.713253059,0.023748519,-0.380867505,0.006299715
ALL,kaolack,0.703907856,0.071603225,health center,0.422548996,0.032217869,2013,6,Senegal,0.865976759,0.118026565,-0.312318191,0.017434488
ALL,kaolack,0.486909632,0.092006229,hospital,0.284882967,0.034678617,2013,6,Senegal,-0.052373441,0.135628204,-0.920367759,0.028975859
ALL,kebemer,0.728429081,0.022985287,clinic,0.377310729,0.035442152,2013,6,Senegal,0.986666952,0.013500778,-0.500978569,0.022756165
ALL,kebemer,0.848529483,0.037571232,health center,0.411532422,0.03833601,2013,6,Senegal,1.723113833,0.085451715,-0.357634025,0.025058821
ALL,kedougou,0.64451241,0.040136415,clinic,0.494116121,0.028038337,2013,6,Senegal,0.595003735,0.030687796,-0.023536601,0.012581858
ALL,kedougou,0.696926817,0.108739584,health center,0.408005915,0.022028938,2013,6,Senegal,0.832706105,0.265036669,-0.37221497,0.008318011
ALL,kedougou,0.777777778,0,hospital,0.588095238,0.054761905,2013,6,Senegal,1.252762968,NA,0.356096742,0.051105559
ALL,kolda,0.598474318,0.047220585,clinic,0.373019308,0.023554491,2013,6,Senegal,0.399112119,0.038614021,-0.519285566,0.010143235
ALL,kolda,0.728245963,0.121195364,health center,0.379482162,0.022748544,2013,6,Senegal,0.985741472,0.375028123,-0.491746761,0.009332886
ALL,kolda,0.653866721,0.116609533,hospital,0.436776557,0.076602559,2013,6,Senegal,0.636079641,0.265462349,-0.254254676,0.096963095
ALL,koumpentoum,0.640395618,0.069138893,clinic,0.50010874,0.036781044,2013,6,Senegal,0.577081649,0.090135981,4.35E-04,0.021645525
ALL,koumpentoum,0.777777778,0,health center,0.353846154,0.053346867,2013,6,Senegal,1.252762968,NA,-0.602175402,0.054439861
ALL,koungheul,0.714888041,0.024691509,clinic,0.386410852,0.034042877,2013,6,Senegal,0.919244002,0.014675346,-0.462424378,0.020615722
ALL,koungheul,0.851851852,0,health center,0.444688645,0.012151366,2013,6,Senegal,1.749199855,NA,-0.222154595,0.002421392
ALL,linguere,0.709896223,0.016521492,clinic,0.292422462,0.028944532,2013,6,Senegal,0.894880083,0.006435792,-0.883647674,0.019568771
ALL,linguere,0.703703704,0.054707329,health center,0.388487703,0.045314849,2013,6,Senegal,0.864997437,0.068842861,-0.453673549,0.036384477
ALL,linguere,0.888888889,0,hospital,0.286593407,0.029132096,2013,6,Senegal,2.079441542,NA,-0.911987006,0.020301908
ALL,louga,0.677576155,0.021207005,clinic,0.306102307,0.019539789,2013,6,Senegal,0.742654981,0.009422978,-0.818405152,0.008462831
ALL,louga,0.60742543,0.056909675,health center,0.413349414,0.03862693,2013,6,Senegal,0.43650291,0.056956323,-0.350136114,0.02537387
ALL,louga,0.703703704,0,hospital,0.265714286,0.054643765,2013,6,Senegal,0.864997437,NA,-1.016476592,0.078437052
ALL,malem hodar,0.691415793,0.006209057,clinic,0.514825077,0.048309548,2013,6,Senegal,0.806746607,8.47E-04,0.059317697,0.037406741
ALL,malem hodar,0.851851852,0,health center,0.391172161,0.031274075,2013,6,Senegal,1.749199855,NA,-0.44238776,0.01724424
